x,y,JumpingPound2012.1,JumpingPound2012.2,JumpingPound2012.3,class
645765.75,5649424.75,73,112,129,snow
645491.25,5649534.75,32,72,98,snow
645681.25,5649355.75,73,120,142,snow
645556.75,5649521.25,120,139,142,snow
645620.25,5649496.25,199,198,181,snow
645667.75,5649222.25,46,76,98,forest
645598.75,5649486.75,35,87,124,rock
645604.75,5649420.75,60,112,142,snow
645850.25,5649248.75,50,72,82,forest
645671.75,5649471.75,58,87,102,forest
645602.25,5649451.75,50,98,130,rock
645772.25,5649375.25,73,98,107,forest
645669.75,5649239.25,40,68,96,forest
645821.75,5649258.75,65,98,120,snow
645689.25,5649298.25,242,239,231,snow
645593.75,5649341.25,60,107,130,snow
645794.25,5649363.25,173,176,158,snow
645734.25,5649408.25,215,210,195,snow
645640.25,5649457.75,42,82,115,rock
645596.25,5649363.25,50,79,102,forest
645579.25,5649443.75,35,68,98,rock
645630.75,5649315.25,60,115,142,snow
645688.75,5649397.75,58,115,142,snow
645639.75,5649401.75,60,120,150,snow
645569.25,5649497.25,60,112,142,snow
645724.75,5649362.75,249,248,241,snow
645641.75,5649387.25,73,129,155,snow
645523.75,5649519.75,50,91,124,forest
645600.75,5649470.75,60,107,135,snow
645730.75,5649387.75,124,146,153,snow
645740.25,5649357.25,221,213,196,snow
645751.25,5649409.25,206,206,199,snow
645730.25,5649383.75,110,153,168,snow
645649.25,5649444.25,79,124,150,snow
645815.25,5649271.75,133,142,135,forest
645620.25,5649325.25,35,61,79,rock
645719.75,5649424.75,87,129,142,snow
645634.25,5649479.75,87,139,164,snow
645672.75,5649430.25,60,107,135,rock
645622.25,5649499.25,236,232,220,snow
645566.25,5649432.25,60,107,130,snow
645575.25,5649440.75,50,96,124,snow
645618.25,5649359.75,46,82,107,rock
645589.75,5649322.25,65,107,130,snow
645728.75,5649408.75,238,236,229,snow
645761.25,5649254.25,50,72,87,forest
645581.75,5649326.25,65,96,112,forest
645520.75,5649521.25,46,91,120,forest
645630.25,5649351.25,40,72,102,forest
645791.25,5649264.25,73,130,164,snow
645739.75,5649357.75,225,218,203,snow
645791.75,5649336.25,255,254,250,snow
645597.25,5649379.25,69,107,129,snow
645721.75,5649414.25,110,146,153,snow
645722.75,5649439.25,40,68,82,forest
645680.25,5649374.25,60,98,124,snow
645620.25,5649383.25,50,91,115,snow
645661.75,5649270.25,42,68,91,rock
645572.75,5649455.75,54,107,135,snow
645697.75,5649336.25,65,96,120,snow
645575.75,5649466.75,40,82,124,snow
645752.25,5649292.25,50,82,98,forest
645675.25,5649452.25,60,124,155,snow
645791.75,5649340.25,253,252,247,snow
645624.75,5649292.25,32,65,96,forest
645711.25,5649449.75,35,68,87,forest
645559.25,5649499.25,29,76,102,rock
645709.75,5649358.75,60,96,115,rock
645756.25,5649447.25,42,76,98,forest
645597.25,5649330.75,58,102,129,snow
645645.25,5649313.75,106,139,150,snow
645591.75,5649379.25,35,76,98,snow
645670.75,5649379.25,50,87,115,rock
645675.75,5649443.75,87,124,130,rock
645704.25,5649228.25,60,112,142,snow
645627.25,5649349.75,50,79,96,forest
645605.75,5649426.25,60,115,142,snow
645757.25,5649407.75,146,171,176,snow
645715.75,5649397.75,110,150,164,snow
645755.75,5649439.75,35,76,102,forest
645597.25,5649502.25,191,190,172,snow
645692.25,5649359.25,87,98,102,rock
645630.25,5649356.25,60,112,142,snow
645565.75,5649435.25,58,98,130,snow
645779.75,5649271.25,42,91,124,forest
645623.75,5649381.25,58,107,130,snow
645663.75,5649447.25,60,115,142,snow
645742.25,5649323.75,73,129,155,snow
645698.75,5649271.25,235,234,226,snow
645694.25,5649438.25,60,102,129,snow
645693.25,5649397.25,40,82,124,rock
645752.25,5649288.25,73,96,102,forest
645497.75,5649520.75,58,102,130,snow
645782.25,5649364.75,244,241,232,snow
645701.25,5649272.25,224,221,214,snow
645743.75,5649434.75,69,120,146,snow
645663.75,5649287.75,58,91,124,snow
645638.25,5649446.75,58,107,135,snow
645569.75,5649338.25,35,61,76,forest
645631.25,5649438.75,87,135,158,snow
