x,y,JumpingPound2012.1,JumpingPound2012.2,JumpingPound2012.3,class
645639.75,5648971.75,193,173,149,rock
645645.25,5649061.25,35,59,70,forest
645712.25,5648907.25,172,154,134,rock
645612.75,5649046.75,45,67,79,forest
645664.25,5649025.75,96,100,102,snow
645764.25,5648708.75,230,221,205,snow
645675.25,5649019.25,216,213,197,snow
645599.75,5648968.25,228,224,213,snow
645740.25,5648747.75,230,223,210,snow
645563.75,5649008.75,211,203,178,snow
645658.75,5648996.25,162,137,116,rock
645669.75,5648926.25,234,222,204,snow
645730.75,5648733.75,189,186,170,snow
645739.25,5648761.75,231,223,207,snow
645697.75,5648825.75,85,101,104,forest
645658.25,5648888.25,242,238,225,snow
645662.75,5648915.25,230,218,194,snow
645671.75,5648956.25,171,150,128,rock
645608.75,5649000.25,254,251,241,snow
645674.25,5648915.75,207,191,165,snow
645557.75,5648989.25,254,253,247,snow
645699.25,5648852.75,222,213,196,snow
645653.75,5648945.75,212,197,172,rock
645668.75,5648949.75,174,150,128,rock
645586.25,5649026.25,60,83,87,forest
645625.25,5648914.75,136,143,139,snow
645699.75,5648936.75,96,89,83,rock
645653.25,5649045.75,50,72,80,forest
645560.75,5649008.25,198,190,162,snow
645630.25,5648936.75,252,249,237,snow
645680.75,5648908.75,235,225,205,snow
645680.75,5648957.25,150,131,116,rock
645602.25,5648933.25,181,179,158,snow
645617.25,5648989.75,244,238,221,snow
645699.25,5648780.25,48,73,88,forest
645704.25,5648866.25,228,218,198,snow
645613.75,5648971.75,245,241,226,snow
645625.75,5649014.25,232,224,204,snow
645677.75,5648977.25,119,103,92,rock
645623.25,5649027.75,57,73,76,forest
645651.25,5648979.25,167,148,121,rock
645595.75,5648986.75,125,128,109,forest
645629.25,5648911.75,249,247,236,snow
645660.25,5648862.25,58,85,103,forest
645667.75,5648956.75,202,182,159,rock
645752.75,5648755.75,132,128,118,rock
645623.75,5648867.25,48,72,82,forest
645647.25,5649047.25,39,65,81,snow
645673.75,5648901.75,214,199,174,snow
645731.25,5648769.75,239,234,221,snow
645659.25,5648909.25,248,242,229,snow
645646.75,5648880.25,93,109,116,forest
645582.75,5648929.75,56,84,88,forest
645583.25,5648961.75,255,255,250,snow
645629.75,5648985.25,210,193,167,rock
645584.75,5648925.25,48,73,84,forest
645654.25,5648933.25,205,189,166,snow
645701.75,5648778.75,60,88,97,forest
645668.25,5648999.25,152,128,110,rock
645698.25,5648880.75,220,206,183,snow
645555.25,5649005.75,168,167,149,forest
645712.75,5648813.75,238,233,222,snow
645586.75,5648996.25,124,124,109,forest
645658.25,5648886.25,247,243,233,snow
645694.25,5648814.25,54,73,86,forest
645599.75,5648994.25,211,204,191,snow
645587.25,5649027.75,54,72,83,forest
645598.25,5648910.25,55,82,86,forest
645654.25,5648992.25,194,174,150,rock
645671.25,5648873.25,240,236,223,snow
645637.25,5648850.25,49,75,93,snow
645579.75,5648929.75,93,114,111,forest
645625.25,5648929.75,252,249,238,snow
645613.25,5648989.25,253,250,238,snow
645741.75,5648716.75,243,240,233,snow
645649.75,5648899.75,242,238,223,snow
645574.25,5648973.25,122,134,119,forest
645685.75,5648955.75,107,95,88,rock
645669.75,5648945.75,176,153,131,rock
645665.25,5648985.75,191,167,143,rock
645649.75,5649030.25,195,191,178,snow
645690.25,5648911.25,201,181,155,rock
645661.25,5648907.75,255,255,245,snow
645571.75,5648981.75,225,220,207,snow
645704.25,5648779.75,60,87,97,forest
645691.25,5648931.75,200,180,154,rock
645600.75,5648992.25,133,133,123,snow
645652.75,5648863.75,58,80,94,forest
645742.25,5648780.25,170,159,146,snow
645581.75,5648984.25,213,204,182,snow
645643.75,5648945.25,241,235,217,snow
645716.75,5648806.25,238,234,221,snow
645635.75,5649046.75,47,71,90,snow
645662.75,5648916.75,233,221,198,snow
645693.25,5648781.25,69,99,119,snow
645661.75,5648981.25,173,152,128,rock
645715.25,5648805.75,236,233,220,snow
645564.25,5648991.75,250,248,239,snow
645634.75,5648883.75,206,205,197,snow
645561.25,5648984.75,115,124,123,forest
